time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment
292.679698,0.000000,0.000000,0.218202,-0.225358,1
292.779698,0.000000,0.000000,0.170830,-0.134562,1
292.879698,0.000000,0.000000,0.154981,-0.076567,1
292.979698,0.000000,0.000000,0.160073,-0.082309,1
293.079698,0.000000,0.000000,0.150279,-0.145591,1
293.179698,0.000000,0.000000,0.130528,-0.209099,1
293.279698,0.000000,0.000000,0.150164,-0.165579,1
293.379698,0.000000,0.000000,0.179670,-0.140632,1
293.479698,0.000000,0.000000,0.206518,-0.137267,1
293.579698,0.000000,0.000000,0.232697,-0.016986,1
293.679698,0.000000,0.000000,0.287960,0.047498,1
293.779698,0.000000,0.000000,0.350526,0.101192,1
293.879698,0.000000,0.000000,0.294547,0.106753,1
293.979698,0.000000,0.000000,0.208946,-0.051324,1
294.079698,0.000000,0.000000,0.241034,-0.103804,1
294.179698,0.000000,0.000000,0.302662,0.035562,1
294.279698,0.000000,0.000000,0.308275,0.186413,1
294.379698,0.000000,0.000000,0.276578,0.435358,1
294.479698,0.000000,0.000000,0.357366,0.763856,1
294.579698,0.000000,0.000000,0.513202,0.807629,1
294.679698,0.000000,0.000000,0.477703,0.750518,1
294.779698,0.000000,0.000000,0.394253,0.664481,1
294.879698,0.000000,0.000000,0.543056,0.563400,1
294.979698,0.000000,0.000000,0.750151,0.446434,1
295.079698,0.000000,0.000000,0.838959,0.478182,1
295.179698,0.000000,0.000000,0.897973,0.459653,1
295.279698,0.000000,0.000000,0.845090,0.292535,1
295.379698,0.000000,0.000000,0.717796,0.245034,1
295.479698,0.000000,0.000000,0.798427,0.355641,1
295.579698,0.000000,0.000000,0.931104,0.386714,1
295.679698,0.000000,0.000000,1.147873,0.312317,1
295.779698,0.000000,0.000000,1.385713,-0.038474,1
295.879698,0.000000,0.000000,1.300030,-0.145998,1
295.979698,0.000000,0.000000,1.133349,0.079557,1
296.079698,0.000000,0.000000,1.221440,0.169889,1
296.179698,0.000000,0.000000,1.373575,-0.006159,1
296.279698,0.000000,0.000000,1.338611,-0.203618,1
296.379698,0.000000,0.000000,1.256733,-0.381290,1
296.479698,0.000000,0.000000,1.120843,-0.521915,1
296.579698,0.000000,0.000000,0.971381,-0.591177,1
296.679698,0.000000,0.000000,0.824628,-0.577905,1
296.779698,0.000000,0.000000,0.678554,-0.648589,1
296.879698,0.000000,0.000000,0.617169,-0.714713,1
296.979698,0.000000,0.000000,0.577113,-0.960811,1
297.079698,0.000000,0.000000,0.644578,-1.070304,1
297.179698,0.000000,0.000000,0.738981,-1.110845,1
297.279698,0.000000,0.000000,0.631311,-0.996856,1
297.379698,0.000000,0.000000,0.473084,-0.842556,1
297.479698,0.000000,0.000000,0.539903,-0.776836,1
297.579698,0.000000,0.000000,0.663050,-0.497136,1
297.679698,0.000000,0.000000,0.624704,-0.255221,1
297.779698,0.000000,0.000000,0.545956,-0.196144,1
297.879698,0.000000,0.000000,0.601714,-0.133231,1
297.979698,0.000000,0.000000,0.691143,-0.056630,1
298.079698,0.000000,0.000000,0.718108,-0.100349,1
298.179698,0.000000,0.000000,0.729360,-0.359222,1
298.279698,0.000000,0.000000,0.611981,-0.387179,1
298.379698,0.000000,0.000000,0.462304,-0.724693,1
298.479698,0.000000,0.000000,0.421489,-0.786352,1
298.579698,0.000000,0.000000,0.408054,-0.466906,1
298.679698,0.000000,0.000000,0.325843,-0.363648,1
298.779698,0.000000,0.000000,0.226420,-0.427286,1
298.879698,0.000000,0.000000,0.158175,-0.290587,1
298.979698,0.000000,0.000000,0.097730,-0.067881,1
299.079698,0.000000,0.000000,0.061035,0.000102,1
299.179698,0.000000,0.000000,0.040189,0.004399,1
299.279698,0.000000,0.000000,0.044657,0.001187,1
299.379698,0.000000,0.000000,0.055464,0.000979,1
299.479698,0.000000,0.000000,0.055943,0.000836,1
