time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps
48.079698,0.209996,0.000000,0.611823,0.152416
48.179698,0.212498,0.000000,0.682282,0.137486
48.279698,0.212500,0.000000,0.765576,0.147072
48.379698,0.212500,0.000000,0.857414,0.159404
48.479698,0.210003,0.000000,0.939145,0.141119
48.579698,0.205004,0.000000,1.014155,0.142917
48.679698,0.202503,0.000000,1.037660,0.148361
48.779698,0.202500,0.000000,1.048256,0.154610
48.879698,0.200002,0.000000,1.074120,0.171785
48.979698,0.200000,0.000000,1.103812,0.154092
49.079698,0.200000,0.000000,1.126662,0.118234
49.179698,0.200000,0.000000,1.147790,0.116735
49.279698,0.195002,0.000000,1.157935,0.110382
49.379698,0.195000,0.000000,1.160753,0.114421
49.479698,0.195000,0.000000,1.176192,0.120008
49.579698,0.195000,0.000000,1.194793,0.084299
49.679698,0.195000,0.000000,1.196799,0.074115
49.779698,0.195000,0.000000,1.187771,0.080347
49.879698,0.195000,0.000000,1.191558,0.091813
49.979698,0.195000,0.000000,1.198558,0.078888
50.079698,0.192502,0.000000,1.210157,0.083452
50.179698,0.192500,0.000000,1.224826,0.114765
50.279698,0.192500,0.000000,1.208039,0.122825
50.379698,0.192500,0.000000,1.170286,0.114890
50.479698,0.192500,0.000000,1.199116,0.103883
50.579698,0.192500,0.000000,1.244659,0.079999
50.679698,0.192500,0.000000,1.253724,0.080386
50.779698,0.192500,0.000000,1.238444,0.073789
50.879698,0.192500,0.000000,1.241139,0.047514
50.979698,0.192500,0.000000,1.248332,0.045473
51.079698,0.192500,0.000000,1.235136,0.043128
51.179698,0.192500,0.000000,1.208286,0.061034
51.279698,0.192500,0.000000,1.215406,0.080911
51.379698,0.190003,0.000000,1.231092,0.108402
51.479698,0.190000,0.000000,1.239581,0.110558
51.579698,0.190000,0.000000,1.246262,0.095516
51.679698,0.190000,0.000000,1.279557,0.073482
51.779698,0.190000,0.000000,1.319538,0.051375
51.879698,0.185007,0.000000,1.280986,0.039081
51.979698,0.185000,0.000000,1.222771,0.028229
52.079698,0.185000,0.000000,1.211165,0.059643
