row_index,time_s,throttle_norm,rudder_norm,measured_speed_mps,measured_yaw_rate_rps,one_step_speed_mps,one_step_yaw_rate_rps,recursive_speed_mps,recursive_yaw_rate_rps
402,40.27969741821289,0.0,0.0,0.14006799459457397,0.09654500335454941,0.15133969485759735,0.09431406110525131,0.11242745071649551,0.041965942829847336
403,40.37969970703125,0.0,0.0,0.0851840004324913,0.11791999638080597,0.10478892922401428,0.11527138203382492,0.11203819513320923,0.04159361124038696
404,40.479698181152344,0.0,0.0,0.0731939971446991,0.1358480006456375,0.07145043462514877,0.12886518239974976,0.11165989935398102,0.041225746273994446
405,40.57969665527344,0.0,0.0,0.08986999839544296,0.13867400586605072,0.10398364067077637,0.12833304703235626,0.11129219830036163,0.040862370282411575
406,40.6796989440918,0.0,0.0,0.09478999674320221,0.15069900453090668,0.11047720164060593,0.1210012137889862,0.11093476414680481,0.040503475815057755
407,40.77969741821289,0.0,0.0,0.09187400341033936,0.1555500030517578,0.09233536571264267,0.14832903444766998,0.11058730632066727,0.04014902561903
408,40.87969970703125,0.0,0.0,0.08886300027370453,0.12304499745368958,0.09092563390731812,0.14164410531520844,0.11024954169988632,0.03979894518852234
409,40.979698181152344,0.0,0.0,0.08578799664974213,0.09560400247573853,0.08955131471157074,0.09317069500684738,0.10992119461297989,0.03945318982005119
410,41.07969665527344,0.0,0.0,0.0876929983496666,0.09623599797487259,0.08512876182794571,0.10085497796535492,0.10960196703672409,0.039111752063035965
411,41.1796989440918,0.0,0.0,0.09714999794960022,0.10329499840736389,0.09026969969272614,0.11760923266410828,0.10929160565137863,0.038774628192186356
412,41.27969741821289,0.0,0.0,0.09212499856948853,0.10798300057649612,0.10080008953809738,0.10842393338680267,0.10898981988430023,0.038441795855760574
413,41.37969970703125,0.0,0.0,0.08347000181674957,0.12341800332069397,0.08474761992692947,0.10646463185548782,0.10869637876749039,0.03811320289969444
414,41.479698181152344,0.0,0.0,0.08531100302934647,0.14924399554729462,0.08144989609718323,0.12712858617305756,0.10841106623411179,0.03778878599405289
415,41.57969665527344,0.0,0.0,0.09415599703788757,0.1568550020456314,0.08883095532655716,0.14749108254909515,0.10813363641500473,0.03746851161122322
416,41.6796989440918,0.0,0.0,0.09489399939775467,0.13452400267124176,0.0953928530216217,0.13429556787014008,0.10786380618810654,0.03715236485004425
417,41.77969741821289,0.0,0.0,0.09022700041532516,0.10179200023412704,0.09010159969329834,0.10741499066352844,0.10760138928890228,0.03684031218290329
418,41.87969970703125,0.0,0.0,0.08375299721956253,0.08354400098323822,0.08765044063329697,0.09320791810750961,0.10734619945287704,0.036532316356897354
419,41.979698181152344,0.0,0.0,0.07607600092887878,0.09305000305175781,0.08341459184885025,0.09612725675106049,0.10709802806377411,0.03622833266854286
420,42.07969665527344,0.0,0.0,0.06442099809646606,0.10006999969482422,0.07780361920595169,0.11499951779842377,0.10685662180185318,0.03592832013964653
421,42.1796989440918,0.0,0.0,0.050106000155210495,0.11126799881458282,0.06907960027456284,0.09899001568555832,0.10662183165550232,0.03563224896788597
422,42.27969741821289,0.0,0.0,0.05897599831223488,0.14258499443531036,0.05663944035768509,0.11153291165828705,0.10639345645904541,0.0353400744497776
423,42.37969970703125,0.0,0.0,0.0832820013165474,0.1695919930934906,0.07409196346998215,0.1477189064025879,0.10617129504680634,0.03505175933241844
424,42.479698181152344,0.0,0.0,0.09735000133514404,0.15301500260829926,0.08844488114118576,0.1532275676727295,0.10595519840717316,0.03476725518703461
425,42.57969665527344,0.0,0.0,0.10458999872207642,0.10538200289011002,0.08805079758167267,0.11280801892280579,0.10574501007795334,0.034486524760723114
426,42.6796989440918,0.0,0.0,0.0927020013332367,0.09802799671888351,0.09562289714813232,0.08111006021499634,0.10554052144289017,0.034209541976451874
427,42.77969741821289,0.0,0.0,0.07601399719715118,0.10701300203800201,0.0752348005771637,0.12675687670707703,0.10534156858921051,0.0339362658560276
428,42.87969970703125,0.0,0.0,0.0765250027179718,0.09067399799823761,0.0726514682173729,0.11872504651546478,0.10514802485704422,0.03366665169596672
429,42.979698181152344,0.0,0.0,0.08849900215864182,0.08759299665689468,0.09106624871492386,0.07634783536195755,0.10495973378419876,0.03340064734220505
430,43.07969665527344,0.0,0.0,0.08018799871206284,0.13394400477409363,0.09662700444459915,0.10010341554880142,0.1047765389084816,0.0331382118165493
431,43.1796989440918,0.0,0.0,0.058295998722314835,0.16686899960041046,0.06812216341495514,0.16184218227863312,0.10459830611944199,0.032879315316677094
432,43.27969741821289,0.0,0.0,0.065249003469944,0.14970099925994873,0.055424828082323074,0.14498160779476166,0.10442490130662918,0.03262392804026604
433,43.37969970703125,0.0,0.0,0.09151200205087662,0.1130409985780716,0.0847429484128952,0.10588118433952332,0.10425615310668945,0.03237200900912285
434,43.479698181152344,0.0,0.0,0.09604600071907043,0.08713000267744064,0.09905552864074707,0.09485405683517456,0.10409198701381683,0.03212350606918335
435,43.57969665527344,0.0,0.0,0.08612100034952164,0.0876230001449585,0.08074532449245453,0.09369055181741714,0.10393224656581879,0.03187837079167366
436,43.6796989440918,0.0,0.0,0.07577300071716309,0.09789499640464783,0.0774664357304573,0.10872796177864075,0.10377680510282516,0.0316365584731102
437,43.77969741821289,0.0,0.0,0.06514199823141098,0.09397199749946594,0.07624386250972748,0.10746774822473526,0.10362554341554642,0.031398046761751175
438,43.87969970703125,0.0,0.0,0.0744049996137619,0.10487999767065048,0.06871074438095093,0.08522255718708038,0.10347834974527359,0.031162813305854797
439,43.979698181152344,0.0,0.0,0.08866500109434128,0.13766099512577057,0.08725980669260025,0.11264020949602127,0.10333514958620071,0.030930813401937485
440,44.07969665527344,0.0,0.0,0.07651200145483017,0.15139999985694885,0.08845508098602295,0.14391829073429108,0.10319578647613525,0.030701981857419014
441,44.1796989440918,0.0,0.0,0.057728998363018036,0.12107300013303757,0.06252259016036987,0.12723779678344727,0.10306015610694885,0.030476273968815804
442,44.27969741821289,0.0,0.0,0.08085200190544128,0.07501299679279327,0.06011177599430084,0.0843479186296463,0.10292817652225494,0.030253669247031212
443,44.37969970703125,0.0,0.0,0.13194899260997772,0.0659170001745224,0.10377995669841766,0.06456147879362106,0.10279973596334457,0.030034134164452553
444,44.479698181152344,0.0,0.0,0.12441500276327133,0.09343600273132324,0.13472262024879456,0.09575644880533218,0.10267476737499237,0.02981763519346714
445,44.57969665527344,0.0,0.0,0.07776100188493729,0.09283299744129181,0.08331922441720963,0.12070204317569733,0.10255313664674759,0.029604123905301094
446,44.6796989440918,0.0,0.0,0.08504299819469452,0.08673200011253357,0.0600803941488266,0.07481539249420166,0.10243476927280426,0.029393557459115982
447,44.77969741821289,0.0,0.0,0.12830300629138947,0.11761700361967087,0.11419092863798141,0.08418518304824829,0.10231959074735641,0.02918589860200882
448,44.87969970703125,0.0,0.0,0.11816799640655518,0.14531299471855164,0.13581326603889465,0.13729529082775116,0.10220751166343689,0.02898111753165722
449,44.979698181152344,0.0,0.0,0.07245200127363205,0.11606600135564804,0.08609786629676819,0.13152888417243958,0.10209842771291733,0.028779178857803345
450,45.07969665527344,0.0,0.0,0.07875899970531464,0.06621100008487701,0.06331010907888412,0.07051210105419159,0.10199224948883057,0.028580043464899063
451,45.1796989440918,0.0,0.0,0.1198040023446083,0.0608769990503788,0.11130036413669586,0.053778260946273804,0.10188890993595123,0.028383677825331688
452,45.27969741821289,0.0,0.0,0.1228260025382042,0.08618199825286865,0.13036201894283295,0.09553666412830353,0.10178837180137634,0.028190039098262787
453,45.37969970703125,0.0,0.0,0.10046699643135071,0.09277600049972534,0.09779462218284607,0.10818422585725784,0.10169055312871933,0.02799908258020878
454,45.479698181152344,0.0,0.0,0.07933899760246277,0.08949899673461914,0.08988252282142639,0.08063279092311859,0.10159534960985184,0.02781078778207302
455,45.57969665527344,0.0,0.0,0.059032998979091644,0.1110830008983612,0.08175677806138992,0.08258676528930664,0.1015026792883873,0.027625123038887978
456,45.6796989440918,0.0,0.0,0.06750500202178955,0.12651300430297852,0.0622747465968132,0.12188360840082169,0.10141249746084213,0.02744205854833126
457,45.77969741821289,0.0,0.0,0.09515699744224548,0.10900899767875671,0.08986914157867432,0.1114274263381958,0.10132472962141037,0.027261551469564438
458,45.87969970703125,0.0,0.0,0.1031780019402504,0.08184000104665756,0.10826041549444199,0.07953542470932007,0.10123933851718903,0.027083557099103928
459,45.979698181152344,0.0,0.0,0.09808699786663055,0.06355699896812439,0.09013869613409042,0.07430601119995117,0.10115624964237213,0.026908043771982193
460,46.07969665527344,0.0,0.0,0.10401999950408936,0.06887499988079071,0.08796484023332596,0.07219883799552917,0.10107540339231491,0.0267349760979414
461,46.1796989440918,0.0,0.0,0.11732400208711624,0.07556100189685822,0.10384318232536316,0.08923126757144928,0.1009967252612114,0.0265643447637558
462,46.27969741821289,0.0,0.0,0.11430700123310089,0.08424899727106094,0.11416690051555634,0.07953158020973206,0.10092013329267502,0.02639610879123211
463,46.37969970703125,0.0,0.0,0.10042200237512589,0.10132399946451187,0.10115879774093628,0.08566944301128387,0.10084560513496399,0.026230232790112495
464,46.479698181152344,0.0,0.0,0.09619300067424774,0.1063150018453598,0.0935124084353447,0.10269633680582047,0.10077310353517532,0.026066673919558525
465,46.57969665527344,0.0,0.0,0.09840100258588791,0.09199699759483337,0.10194263607263565,0.09068815410137177,0.10070258378982544,0.02590540237724781
466,46.6796989440918,0.0,0.0,0.11913300305604935,0.06844999641180038,0.1027144342660904,0.07379919290542603,0.10063396394252777,0.025746388360857964
467,46.77969741821289,0.0,0.0,0.14451199769973755,0.041776999831199646,0.12750065326690674,0.06164705753326416,0.10056716948747635,0.025589613243937492
468,46.87969970703125,0.08995600044727325,0.0,0.12427199631929398,0.04198800027370453,0.1398274451494217,0.04430176690220833,0.10050217062234879,0.025435050949454308
469,46.979698181152344,0.12496600300073624,0.0,0.09258399903774261,0.0643640011548996,0.09296976029872894,0.07024478167295456,0.09984202682971954,0.027630211785435677
470,47.07969665527344,0.1424800008535385,0.0,0.0941699966788292,0.07509200274944305,0.08938527852296829,0.08602491766214371,0.10214300453662872,0.03215412795543671
471,47.1796989440918,0.16247299313545227,0.0,0.11794599890708923,0.07487200200557709,0.11534517258405685,0.07101381570100784,0.10724233090877533,0.03785717114806175
